proxy_model,mean_corr,min_corr,max_corr,reward_only_mean_stop_pulls,probe_mean_stop_pulls,probe_ratio_vs_reward_only,empirical_correct_at_stop,truncated_rate
linear,0.6633318787643858,0.5700113778799659,0.7255453658202224,573719.6166666667,300566.13333333336,0.5238902847346135,1.0,0.0
decision_tree,0.6608811046312156,0.5856029426597812,0.7022987161802651,573719.6166666667,311778.0916666667,0.5434328592041344,1.0,0.0
gradient_boosting,0.7719774925262614,0.7393444258510765,0.7992757608865557,573719.6166666667,237518.075,0.4139967818775124,1.0,0.0
