rho,target_certificate,mean_certification_time,median_certification_time,plugin_failure_rate,certificate_failure_rate,finite_certificate_rate,sample_size,eta
0.1,0.995,2825.3,2362.5,0.5530666666666667,0.003933333333333333,1.0,100,0.05
0.2,0.98,1398.95,1300.0,0.5419333333333334,0.004733333333333333,1.0,100,0.05
0.3,0.955,749.3,712.5,0.5494666666666667,0.0034666666666666665,1.0,100,0.05
0.4,0.9199999999999999,432.15,425.0,0.5396,0.0038666666666666667,1.0,100,0.05
0.5,0.875,272.0,262.5,0.5447333333333333,0.0033333333333333335,1.0,100,0.05
0.6,0.8200000000000001,175.65,175.0,0.5441333333333334,0.004,1.0,100,0.05
0.7,0.755,124.2,125.0,0.5513333333333333,0.0038,1.0,100,0.05
0.8,0.6799999999999999,101.5,100.0,0.5456,0.0044,1.0,100,0.05
0.9,0.595,100.0,100.0,0.5472666666666667,0.0028666666666666667,1.0,100,0.05
