method,estimator,delta,mean_stop_pulls,median_stop_pulls,q90_stop_pulls,empirical_correct_at_stop,abs_rho_arm0,abs_rho_arm1,sample_saving_vs_baseline,sample_saving_pct
baseline,baseline,0.05,6787.693333333334,6720.0,9360.0,1.0,0.0,0.0,0.0,0.0
qwen_local_icl,lcb_cv,0.05,6834.2266666666665,6720.0,9280.0,1.0,0.274669363154052,0.010747614556042805,-0.0068555444461249,-0.68555444461249
qwen_lora_cls_raw,lcb_cv,0.05,4819.306666666666,4800.0,6240.0,1.0,0.7246999798767435,0.7065248756491023,0.2899934587498551,28.99934587498551
gpt_api,lcb_cv,0.05,6744.72,6640.0,9200.0,1.0,0.2642973794084722,0.32671497888928125,0.0063310658309057,0.63310658309057
tabpfn,lcb_cv,0.05,4263.093333333333,4240.0,5520.0,1.0,0.8224991387537164,0.7598721273413804,0.3719378404445693,37.193784044456926
