method,estimator,delta,mean_stop_pulls,median_stop_pulls,q90_stop_pulls,empirical_correct_at_stop,truncated_rate,mean_final_L_arm0,mean_final_L_arm1,rho_arm0,rho_arm1,sample_saving_vs_baseline
baseline,baseline,0.05,6787.693333333334,6720.0,9360.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen_local_icl,lcb_cv,0.05,6834.2266666666665,6720.0,9280.0,1.0,0.0,0.0003100787800602,0.0028040631674097,0.0,0.0107476145560428,-0.006855544446124906
qwen_lora_cls_raw,lcb_cv,0.05,4819.306666666666,4800.0,6240.0,1.0,0.0,0.5987822794098039,0.5891609434243859,0.7246999798767434,0.7065248756491025,0.28999345874985516
gpt_api,lcb_cv,0.05,6744.72,6640.0,9200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.006331065830905702
tabpfn,lcb_cv,0.05,4263.093333333333,4240.0,5520.0,1.0,0.0,0.6941082362492274,0.6358968039949645,0.8224991387537164,0.7598721273413804,0.37193784044456935
