method,estimator,delta,kappa,mean_stop_pulls,median_stop_pulls,q90_stop_pulls,empirical_correct_at_stop,truncated_rate,mean_rounds,s_cal,reward_scale,abs_rho_arm0,abs_rho_arm1,signed_rho_arm0,signed_rho_arm1,sample_saving_vs_baseline,abs_rho_min,abs_rho_max
baseline,probe,0.05,1.0,105159.42,105206.5,106714.3,1.0,0.0,3.0,372.0,227.85024619624323,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen_local_icl,probe,0.05,1.0,101697.61966666668,101789.0,103467.2,1.0,0.0,2.9996666666666667,372.0,227.85024619624323,0.2746693631540519,0.0107476145560428,-0.2746693631540519,0.0107476145560428,0.03291954570815736,0.0107476145560428,0.2746693631540519
qwen_lora_cls_raw,probe,0.05,1.0,52036.229,52315.5,54477.1,1.0,0.0,3.0,372.0,227.85024619624323,0.7246999798767431,0.7065248756491025,0.7246999798767431,0.7065248756491025,0.5051681627760976,0.7065248756491025,0.7246999798767431
gpt_api,probe,0.05,1.0,95590.52833333334,95715.5,97560.4,1.0,0.0,3.0,372.0,227.85024619624323,0.2642973794084722,0.3267149788892813,-0.2642973794084722,-0.3267149788892813,0.09099414647462556,0.2642973794084722,0.3267149788892813
tabpfn,probe,0.05,1.0,40593.63,40778.5,43101.4,1.0,0.0,3.0,372.0,227.85024619624323,0.8224991387537165,0.7598721273413808,0.8224991387537165,0.7598721273413808,0.6139800885170345,0.7598721273413808,0.8224991387537165
