method,estimator,delta,mean_stop_pulls,median_stop_pulls,q90_stop_pulls,empirical_correct_at_stop,truncated_rate,mean_final_L_arm0,mean_final_L_arm1,rho_arm0,rho_arm1
tabpfn,baseline,0.05,6770.413333333333,6620.0,9360.0,1.0,0.0,0.0,0.0,0.8224991387537164,0.7598721273413804
tabpfn,lcb_cv,0.05,4263.093333333333,4240.0,5520.0,1.0,0.0,0.6941082362492274,0.6358968039949645,0.8224991387537164,0.7598721273413804
tabpfn,oracle_cv,0.05,2228.3733333333334,2160.0,3160.0,1.0,0.0,0.0,0.0,0.8224991387537164,0.7598721273413804
